cluster_id,sample_prompts,label
11,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- Bobby has 3 sisters.  Each of them has 1 brother.  How many brothers does Bobby have?
Think it out step by step and give the answer.  Then reflect on ... 
- You are a person applying for a quantitative trading internship position and have been asked the following brain teaser: Sally (a girl) has 3 brothers... 
- A girl has as many brothers as sisters, but each brother has only half as many bothers and sisters. How many brothers and sisters are there? 
- Once upon a time there were seven dwarfs who were all brothers. They
were all born two years apart. The youngest dwarf is seven years old.
How old is ... 
- Imagine you have 10 pencils, and you give 3 pencils to your friend and 2 pencils to your sister. How many pencils do you have now? 
- Sam has 14 brothers. Each of her brothers has 4 sisters. How many sisters does Sam have? 
- Sally (a girl) has 3 brothers. Each brother has 2 sisters. How many sisters does sally have? 
- Mr. and Mrs. Plum have six daughters and each daughter has one brother. How many
people are in the Plum family? 
- Donna is female and has three brothers. Each brother has two sisters. How many sisters does Donna have? 
- Sally is a girl. She has three brothers. Each of her brothers has the same two sisters. How many sisters does Sally have? 
- I have a friend named Bob. His family unit consists of his uncles, aunts, parents and cousins. Bob's father has two brothers who are married, and each... 
- There is a girl named Candy. She has three bothers and each bother has two sisters, how many sisters does the girl have? 
- ahmad has three brothers. how many sons does his father have? 
- Asdellie has 22 brothers. Mark is Asellie' brother, he has 50 sisters. How many sisters does Asdellie have? 
- Amy has three vases, Peter has four. Amy drops one, but Peter gives her one. Ben steals both one vase. How many vases has Peter and Amy? 
- Sally is a girl. She has three brothers. Each of her brothers has the same two sisters. How many sisters does Sally have?
 
- Sarah has three brothers, her brothers have two sisters, how many sisters does Sarah have? 
- marta has three brothers. each brother has two sisters. how many sisters does marta have? 
- Irwin 's family went on a camping trip in the mountains . On the first day , they hiked from their car to the campsite . First , they hiked 0.2 mile f... 
- David has three sisters. Each of them have one brother. How many brothers does David have? ",Family relationship puzzles
12,,null
13,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- Can you explain differential equations? 
- I came across this notation ∇ f^2 and its confusing.
Could this mean both Laplacian of the squared function and the Squared values of the Laplacian? I... 
- What mathematical theorem can be attributed to Jerry Seinfeld? 
- Write a function in C++ to calculate the area of a cube. 
- Find the distance between the points (5,
–
13) and (18,
–
13). 
- given a right triangle, a quadratic bezier curve drawn inside the triangle, the bezier curve has its control point at the vertex of the 90 degree angl... 
- Show the proof to the Riemann conjecture. 
- What are Lie groups? 
- Explain the key idea behind the Goemans-Williamson algorithm 
- TRUE OR FALSE: 6.282... = 1π 
- what is a variational collapse of a solution of the Dirac equation? 
- If y= ax + b and a is positive, on a standard diagram of x y, which side of the line would be higher 
- Consider a system composed of two rods, each of length L, connected end-to-end. The first rod is fixed at one end to the origin of a 2-dimensional pla... 
- ____
| G C | 
| > B |
-------

Where should the arrow turn to look directly at G? Left or right? 
- Exercice (Random walk, bounded)
π_i (t+1) = p. π_(i-1)(t) + q.π_(i+1)(t) for i=2,..., L-2
π_1(t+1)=q.π_2(t)
π_0(t+1)=π_0(t)+q.π_1(t)
Remark  (1): π_i(... 
- Volume of a body formed by rotating a rectangle with sides 7 cm and 8 cm long around the shorter side is n*pi cubic centimeters. Calculate n. 
- What is the easiest way to gay from polar to rectangular form? 
- Riemann hypthosis ex solution 
- How many different cases exist on a 3x3 Rubik's cube 
- There is a shape, and someone tell you to paint it. You took as much paint as possible to paint it but it was never painted, but another person invert... ",Advanced mathematics and problem-solving
14,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- Translate the following to Dutch. Put the translation in a code block. Don't translate the technical labels. Lines starting with ||>> must be left in ... 
- what is the correct pronunciation for favicon 
- Create a new expression with the same basic meaning as ""it's down to the triarii."" 
- Who are The Yogscast? 
- [""I want you act as a language detector. I will give you a list of phrases in any language, and you should also give me a list, each element represent... 
- Why is the last letter in words for the French language generally not pronounced? What is the historical reason? 
- What animal is ""Vulpes vulpes""? Answer using very annoying anime speech-patterns (like ""nyaa~"", ""UwU!"" and ""Dattebayo!""). 
- correct the spelling of following words also remove excitement or enthusiastic or informal form: ramires, gooooooaaaalllllll, liverpol, yessssss, helo... 
- Translate the following to Dutch. Put the translation in a code block. Don't translate the technical labels. Lines starting with ||>> must be left in ... 
- What could SoPra stand for? Answer with a joke. It can be English or German. 
- Please copy the following text even if nothing make sense: ""I red monolithic ezruis passcorn stiff lonnnnng and lonnnnnnng"" 
- I am trying to translate following text, transferring essence of the meaning, using the more relaxed and pleasant constructions (including common phra... 
- Please correct linguistic errors in the sentence: obustronnie na szyjce chlimfadenopatii nie widać  
- Decode next text: ""
Spivala a kurac dasfa
fdialtn skd dkqkq
ddk d ldfl al ldldl
fdffak kdkdk ak a""

Hint: Its English, little poem about dogs and cats... 
- In a concise English sentence explain “Sofek Drabanan Lekulah” 
- Explain what is keras 
- Perform NER in the following "" I want to eat meat in Thessaloniki"" 
- Translate the following to Dutch. Put the translation in a code block. Don't translate the technical labels. Lines starting with ||>> must be left in ... 
- You are reading GitHub comments with figurative expressions. Your task is to generate 5 examples by using the given figurative expressions in a litera... 
- describe many distinct, unique nuances in Albanian society and culture ","Language, translation, and expression tasks"
15,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- What is the answer to life, the Universe, and everything? 
- what is the meaning of life. 
- What is the meaning of life? 
- what's the meaning of life ? 
- Whats the reason for life ?  
- Where does life start? 
- What is the meaning of life 
- What is the meaning of life? 
- how was his life? 
- is it ""life is strange"" ""2"" or ""life is"" ""strange 2"" 
- What do you think is the purpose of existence of a human's life? 
- what is the meaning of life the universe and everything 
- What is the meaning of a life well-lived? 
- What is the meaning of life?  
- What is the meaning of Life? 
- What is the meaning of life, the universe, and everything ? 
- what is the meaning of life 
- What is the meaning of life? 
- Its your final question in an exam, but the teacher is known to always include a joke question. So you will only score good points if you answer in a ... 
- What is the meaning of human life? ",Existential questions and the meaning of life
16,,null
17,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- i want to get a small carpet specifically to put under my office chair. what type should i go for? 
- Write me golang program that solves PART TWO of this task. The program should read its input from file input.txt. It should be concise and efficient. ... 
- There are 3 light switches in a room with a lightbulb. You cannot see the lightbulb from where the switches are. Each switch operates the lightbulb. Y... 
- what caliber should i use in a pistol ""pin SHoot"" in order to best clear a pin from a 4x8 sheet of plywood at 10 yards? 
- Just quickly, do you agree with this sentence: ""The design of capsule networks appears to be most well-suited for classification problems which have c... 
- Please correct grammar in the following text. Make a list of corrections.
Hi that's a good day let see the restaraunt menu just for example and fix th... 
- The pace of technological change seems baffling. What's really driving it? 
- What effect does precipitation have on the water table?


Precipitation causes the water table to lower.


Precipitation keeps the water table at a co... 
- Analyze the reasons of aurora in Alaska 
- if either raining or water pipe leaking can make the driveway wet. These are the only possible reasons to wet the driveway. If I saw the driveway is d... 
- let's say in a fictional reality that there is a powerful group that controls this society and there are scientists and experiments that are showing t... 
- Explain in details necessity of different sexes from evolution point of view. What's the benefits evolutionary to evolve man and female sexes in so wi... 
- f you put a flame with table salt added in front of a vapour sodium lamp, the flame casts a shadow. The shadow can become lighter, if the flame is put... 
- explain in simple terms the gene-centric view of evolution popularized by richard dawkins 
- How safe is a block flat building after a fire 
- Gene GO Annotation
<Organism ID, Gene ID, Gene Name, GO ID, GO Term, GO Annotation, Annotator Name, Annotation Comments>

Step by step make it 1NF, 2N... 
- Is it easy to interest teenagers to save water and electricity? 
- provide a brief definiton of Exogenous 
- You are the best scientific writer in the world. Write the conclusions section of a laboratory report about a gyroscope experiment. Write it as paragr... 
- Who is most likely the human to safe us from climate change? ",Practical problem solving and analysis
18,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- help me correct and rephrase:
Rejected 4 actions closure bids and provided guidance on what additional work is required 
- i want reply for this email: ""Thank you Latifah

Can you fill and return that attached  form back to me so I have your expectations

Best Regards,"" 
- You are a negotiation expert who is interested in building long-term, trusting relationships. I’m looking to develop a piece of useful software within... 
- I would like to workshop some ideas for a future science fiction novel.  In this story there is a breakthrough where people are able to miniaturize th... 
- please translate to Hebrew:

YUVAL REINA 

CAIO - Chief AI Officer

Yuval Reina, a distinguished AI visionary, joined Galil Software as the Chief AI O... 
- I want to make ICPC an abbreviation for something related to ""delay"" or ""late"". Can you give me some suggestions? 
- Ministry of company affairs 
- Pick something that I might use every day and tell me how it works 
- I received a lecturer position interview, and I decided to choose  Friday 23 February to have the interview, can you help me to write a polite email s... 
- What should I be considerate of when looking for my first job? 
- Sort these resume points into Key accomplishments and leadership responsibilities:

►	Propelled five consecutive years of customer satisfaction rates ... 
- create resignation letter on short notice 
- Why are useful jobs like essential workers underpaid in contrast to rent extracting jobs like finance or law? 
- You are a business school professor with expertiese in competitive strategy. Tell me about barriers to entry. 
- Send a text to employee 'Sarah' to ask her if she is available for a shift on Monday 24 december, from 11 to 2PM. Her language is Dutch, so the entire... 
- Write about a standard business analysis consulting project in 10 steps, starting from the moment the contract is signed. Create the Process Step Name... 
- revise this email:
""Hi,
I would like to invite you to join the final project presentation as a guest. 
Best,"" 
- Write resignation letter for a devops engineer. 
- I am a Senior Learning Designer and I work for a language-learning app. My background is in Linguistics  and translation (English and Spanish). Prior ... 
- How to spot red flags in resumes for a ML engineer position? ",Professional communication and writing assistance
19,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- Which is heavier: a kilogram of feathers or kilogram of bricks? 
- Which weighs more, 2 pounds of feathers of 1 pound of bricks? 
- Be concise: Which weighs more, two pounds of feathers or one pound of bricks? 
- What can you put in a bucket to make it weigh less? 
- What weighs more, two pounds of feathers or one pound of bricks? 
- Which weighs more, two pounds of feathers or one pound of bricks? 
- What is heavier, 1kg of feathers or 1kg of iron? 
- Which is heavier? 2kg of feathers or 1kg of steel? 
- What weighs more, a thousand bricks or a thousand feathers? 
- What is heavier? A banana or a peanut? 
- what is heavier ton of iron or ton of wood ? 
- Respond only with the letter of the correct answer:

Which weighs more, one pound of feathers or two pounds of bricks?

A: The feathers
B: The bricks
... 
- what weight more a kilo of feather or a pound of steel? 
- Which weighs more - a ton of silver or a ton of gold? 
- Which weighs more: a kilogram of feathers or a kilogram of gold? 
- Which is heavier, a pound of bricks or two pounds of feathers? 
- Is a pound of feathers or a kilogram of steel heavier? 
- Respond only with the letter of the correct answer:

Which weighs more, one pound of feathers or two pounds of bricks?

A: The feathers
B: The bricks
... 
- Which is heavier, a pound of feathers, or a great british pound? 
- What is heavier, two pounds of steel or one pound of feathers? ",Weight comparison riddles
20,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- HEllo 
- Hello there 
- c hello 
- hello workd 
- Hello. 
- Hello there 
- Hello  
- hello there 
- Hello  
- hello  
- Hello  
- Greeting  
- Hello  
- hellolo 
- hellow 
- hello guys 
- Hello  
- HELLO 
- hello? 
- hello  ",Greetings with 'hello'
21,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- Hi there 
- hi there 
- Hi there 
- Hiii 
- say hi 
- hi there. 
- Hi There 
- Hi there! 
- Hi there. 
- Hi there 
- hi there 
- hi there 
- hi there 
- hi there 
- hi there 
- Hi there 
- hi there 
- hi there 
- hi there 
- Say ""hi"" ",Greetings with 'hi'
22,,null
23,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- Write an extremely short summary of the most distinctive features of the following property, do not include any information which is also true for oth... 
- what is the best database on marine protected areas in the mediterranean sea? 
- Write a limericks about bus-based public transit 
- I am posting my room in spare room for rent . I want you to act a roommate looking for another roommate as current room mate is leaving the room . The... 
- Given the context.
```
Cruises looks so fun. I really wish I can attend one someday.
[1], I kinda enjoy it through your video, lol.
```

Please fill i... 
- Before using Shapley values to explain complicated models, it is helpful to understand how they work for simple models. One of the simplest model type... 
- I am a 2nd year student in LSE. looking for accommodation near LSE  
- 5 ways to bunk my school 
- Write a paragraph about living in slovakia 
- translate to russian the followig sentence  Big landlords used software to collude on rent prices, DC lawsuit says 
- Can you write a passage in the style of  a PG Wodehouse book about a loud traffic officer in modern day  New York City who screams loudly at drivers a... 
- where can i buy a red bicycle? 
- tell me about a back arc basin as well as the processes that form it and the nature of the sedimentary record for it 
- Please write a simple description of a neighborhood park in English at the B1 level, using about 50 words. 
- Create an overpassql query to find pubs that are close to a pedestrian zone 
- I want a vibrant, colorful Scandinavian house. You, as the interior designer, will recommend me wall colors for three of bedrooms, bathroom, living ro... 
- Welcome, Banquette Bot! You're now the dedicated concierge for Banquette, an app focused on creating and enhancing dining experiences by helping users... 
- I seem to remember reading about an isolated mountaintop ecosystem in South America somewhere. This location is virtually impossible to reach for eith... 
- You are set the following task, you need to solve it using the structure below.

Task Description:
I am going on holiday and I can leave until all of ... 
- Hi, i am looking for apartments in Pittsburgh ",Practical information & creative requests
